receipt_id,po_id,supplier_id,sku,received_qty,receipt_date
GR-50000,PO-70000,SUP-105,CAT-SERV-03,120,2026-09-05
GR-50001,PO-70001,SUP-103,CAT-SERV-01,170,2026-09-07
GR-50002,PO-70002,SUP-108,PKG-BOX-04,193,2026-08-02
GR-50003,PO-70003,SUP-105,OFF-SUP-02,568,2026-08-27
GR-50004,PO-70004,SUP-100,MRO-FLT-05,246,2026-09-15
GR-50005,PO-70005,SUP-103,SEC-ACC-05,626,2026-08-24
GR-50006,PO-70006,SUP-109,PKG-BOX-02,235,2026-09-05
GR-50007,PO-70007,SUP-106,CAT-SERV-02,648,2026-08-08
GR-50008,PO-70008,SUP-104,MRO-FLT-05,667,2026-08-23
GR-50009,PO-70009,SUP-109,LOG-EXP-01,184,2026-08-04
GR-50010,PO-70010,SUP-102,OFF-SUP-04,495,2026-08-22
GR-50011,PO-70011,SUP-105,OFF-SUP-02,216,2026-08-29
GR-50012,PO-70012,SUP-105,FAC-CLEAN-03,143,2026-08-09
GR-50013,PO-70013,SUP-106,CAT-SERV-05,312,2026-08-07
GR-50014,PO-70014,SUP-100,IT-ACCESS-03,198,2026-08-25
GR-50015,PO-70015,SUP-106,MRO-FLT-02,597,2026-09-11
GR-50016,PO-70016,SUP-107,IT-ACCESS-05,443,2026-09-03
GR-50017,PO-70017,SUP-111,CAT-SERV-02,167,2026-08-18
GR-50018,PO-70018,SUP-102,LOG-EXP-03,608,2026-08-12
GR-50019,PO-70019,SUP-103,IT-ACCESS-02,289,2026-09-10
GR-50020,PO-70020,SUP-100,LOG-EXP-03,497,2026-08-05
GR-50021,PO-70021,SUP-111,CAT-SERV-03,183,2026-09-04
GR-50022,PO-70022,SUP-102,IT-ACCESS-02,204,2026-08-23
GR-50023,PO-70023,SUP-102,FAC-CLEAN-02,207,2026-08-14
GR-50024,PO-70024,SUP-102,PKG-BOX-02,559,2026-08-20
GR-50025,PO-70025,SUP-103,CAT-SERV-04,105,2026-09-14
GR-50026,PO-70026,SUP-107,FAC-CLEAN-01,585,2026-08-01
GR-50027,PO-70027,SUP-109,OFF-SUP-05,299,2026-08-31
GR-50028,PO-70028,SUP-102,PKG-BOX-04,235,2026-09-04
GR-50029,PO-70029,SUP-105,CAT-SERV-03,92,2026-08-25
GR-50030,PO-70030,SUP-109,SEC-ACC-04,665,2026-08-17
GR-50031,PO-70031,SUP-101,CAT-SERV-02,584,2026-08-27
GR-50032,PO-70032,SUP-100,OFF-SUP-04,150,2026-08-24
GR-50033,PO-70033,SUP-106,CAT-SERV-05,475,2026-08-23
GR-50034,PO-70034,SUP-106,OFF-SUP-01,638,2026-09-12
GR-50035,PO-70035,SUP-100,IT-ACCESS-05,294,2026-09-11
GR-50036,PO-70036,SUP-107,SEC-ACC-02,419,2026-08-25
GR-50037,PO-70037,SUP-109,PKG-BOX-04,280,2026-08-07
GR-50038,PO-70038,SUP-104,FAC-CLEAN-05,258,2026-08-18
GR-50039,PO-70039,SUP-108,CAT-SERV-03,614,2026-08-25
GR-50040,PO-70040,SUP-106,SEC-ACC-03,376,2026-09-03
GR-50041,PO-70041,SUP-111,SEC-ACC-05,103,2026-09-03
GR-50042,PO-70042,SUP-111,FAC-CLEAN-01,643,2026-09-06
GR-50043,PO-70043,SUP-108,LOG-EXP-01,414,2026-08-08
GR-50044,PO-70044,SUP-108,PKG-BOX-04,375,2026-08-11
GR-50045,PO-70045,SUP-101,SEC-ACC-02,506,2026-09-12
GR-50046,PO-70046,SUP-110,OFF-SUP-05,532,2026-08-25
