po_id,supplier_id,sku,category,uom,ordered_qty,agreed_unit_price,currency,supplier_status
PO-70000,SUP-105,CAT-SERV-03,Catering,EA,129,92.21,EGP,Approved
PO-70001,SUP-103,CAT-SERV-01,Catering,EA,182,76.91,EGP,Approved
PO-70002,SUP-108,PKG-BOX-04,Packaging,EA,208,19.64,EGP,Approved
PO-70003,SUP-105,OFF-SUP-02,Office Supplies,EA,601,12.38,EGP,Approved
PO-70004,SUP-100,MRO-FLT-05,MRO,EA,256,144.76,EGP,Approved
PO-70005,SUP-103,SEC-ACC-05,Security,EA,644,325.29,EGP,Approved
PO-70006,SUP-109,PKG-BOX-02,Packaging,EA,238,16.9,EGP,Approved
PO-70007,SUP-106,CAT-SERV-02,Catering,EA,657,82.52,EGP,Approved
PO-70008,SUP-104,MRO-FLT-05,MRO,EA,672,142.42,EGP,Approved
PO-70009,SUP-109,LOG-EXP-01,Logistics,EA,197,200.22,EGP,Approved
PO-70010,SUP-102,OFF-SUP-04,Office Supplies,EA,510,10.89,EGP,Approved
PO-70011,SUP-105,OFF-SUP-02,Office Supplies,EA,229,12.04,EGP,Approved
PO-70012,SUP-105,FAC-CLEAN-03,Facilities,EA,147,66.56,EGP,Approved
PO-70013,SUP-106,CAT-SERV-05,Catering,EA,323,95.96,EGP,Approved
PO-70014,SUP-100,IT-ACCESS-03,IT Peripherals,EA,207,132.71,EGP,Approved
PO-70015,SUP-106,MRO-FLT-02,MRO,EA,597,123.64,EGP,Approved
PO-70016,SUP-107,IT-ACCESS-05,IT Peripherals,EA,477,101.7,EGP,Approved
PO-70017,SUP-111,CAT-SERV-02,Catering,EA,176,74.09,EGP,Approved
PO-70018,SUP-102,LOG-EXP-03,Logistics,EA,667,211.74,EGP,Approved
PO-70019,SUP-103,IT-ACCESS-02,IT Peripherals,EA,315,127.08,EGP,Approved
PO-70020,SUP-100,LOG-EXP-03,Logistics,EA,544,224.73,EGP,Approved
PO-70021,SUP-111,CAT-SERV-03,Catering,EA,183,83.95,EGP,Approved
PO-70022,SUP-102,IT-ACCESS-02,IT Peripherals,EA,210,123.03,EGP,Approved
PO-70023,SUP-102,FAC-CLEAN-02,Facilities,EA,209,72.08,EGP,Approved
PO-70024,SUP-102,PKG-BOX-02,Packaging,EA,607,18.93,EGP,Approved
PO-70025,SUP-103,CAT-SERV-04,Catering,EA,109,84.78,EGP,Approved
PO-70026,SUP-107,FAC-CLEAN-01,Facilities,EA,591,70.0,EGP,Approved
PO-70027,SUP-109,OFF-SUP-05,Office Supplies,EA,313,13.24,EGP,Approved
PO-70028,SUP-102,PKG-BOX-04,Packaging,EA,247,20.1,EGP,Approved
PO-70029,SUP-105,CAT-SERV-03,Catering,EA,97,94.6,EGP,Approved
PO-70030,SUP-109,SEC-ACC-04,Security,EA,672,286.23,EGP,Approved
PO-70031,SUP-101,CAT-SERV-02,Catering,EA,642,75.73,EGP,Approved
PO-70032,SUP-100,OFF-SUP-04,Office Supplies,EA,152,9.99,EGP,Approved
PO-70033,SUP-106,CAT-SERV-05,Catering,EA,520,99.9,EGP,Approved
PO-70034,SUP-106,OFF-SUP-01,Office Supplies,EA,665,10.11,EGP,Approved
PO-70035,SUP-100,IT-ACCESS-05,IT Peripherals,EA,294,98.63,EGP,Approved
PO-70036,SUP-107,SEC-ACC-02,Security,EA,456,381.17,EGP,Approved
PO-70037,SUP-109,PKG-BOX-04,Packaging,EA,281,20.21,EGP,Approved
PO-70038,SUP-104,FAC-CLEAN-05,Facilities,EA,269,62.66,EGP,Approved
PO-70039,SUP-108,CAT-SERV-03,Catering,EA,643,89.07,EGP,Approved
PO-70040,SUP-106,SEC-ACC-03,Security,EA,382,309.73,EGP,Approved
PO-70041,SUP-111,SEC-ACC-05,Security,EA,109,322.88,EGP,Approved
PO-70042,SUP-111,FAC-CLEAN-01,Facilities,EA,672,77.85,EGP,Approved
PO-70043,SUP-108,LOG-EXP-01,Logistics,EA,421,188.78,EGP,Approved
