contract_id,supplier_id,sku,contract_unit_price,rebate_pct,late_penalty_pct,payment_days,start_date,end_date,auto_renew,minimum_volume
CON-90000,SUP-105,CAT-SERV-03,92.21,2.0,0.0,60,2026-01-01,2026-12-31,No,129
CON-90001,SUP-103,CAT-SERV-01,76.91,2.0,0.0,30,2026-01-01,2026-12-31,No,182
CON-90002,SUP-108,PKG-BOX-04,19.64,0.0,0.0,30,2026-01-01,2026-12-31,No,208
CON-90003,SUP-105,OFF-SUP-02,12.38,1.5,0.0,45,2026-01-01,2026-12-31,No,601
CON-90004,SUP-100,MRO-FLT-05,144.76,0.0,0.0,60,2026-01-01,2026-12-31,No,256
CON-90005,SUP-103,SEC-ACC-05,325.29,1.5,0.0,60,2026-01-01,2026-12-31,No,644
CON-90006,SUP-109,PKG-BOX-02,16.9,0.0,0.0,60,2026-01-01,2026-12-31,No,238
CON-90007,SUP-106,CAT-SERV-02,82.52,0.0,0.0,45,2026-01-01,2026-12-31,No,657
CON-90008,SUP-104,MRO-FLT-05,128.18,0.0,2.0,60,2026-01-01,2026-12-31,No,672
CON-90009,SUP-109,LOG-EXP-01,200.22,3.0,0.0,30,2026-01-01,2026-12-31,No,197
CON-90010,SUP-102,OFF-SUP-04,10.89,2.0,1.0,60,2026-01-01,2026-12-31,No,510
CON-90011,SUP-105,OFF-SUP-02,12.04,0.0,0.0,30,2026-01-01,2026-12-31,No,229
CON-90012,SUP-105,FAC-CLEAN-03,66.56,0.0,2.0,45,2026-01-01,2026-12-31,No,147
CON-90013,SUP-106,CAT-SERV-05,95.96,0.0,1.0,60,2026-01-01,2026-12-31,No,323
CON-90014,SUP-100,IT-ACCESS-03,119.44,0.0,0.0,45,2026-01-01,2026-12-31,No,207
CON-90015,SUP-106,MRO-FLT-02,123.64,0.0,0.0,30,2026-01-01,2026-12-31,No,597
CON-90016,SUP-107,IT-ACCESS-05,101.7,2.0,0.0,45,2026-01-01,2026-12-31,No,477
CON-90017,SUP-111,CAT-SERV-02,74.09,2.0,1.0,60,2026-01-01,2026-12-31,No,176
CON-90018,SUP-102,LOG-EXP-03,211.74,3.0,0.0,45,2026-01-01,2026-12-31,No,667
CON-90019,SUP-103,IT-ACCESS-02,114.37,2.0,0.0,45,2026-01-01,2026-12-31,No,315
CON-90020,SUP-100,LOG-EXP-03,224.73,2.0,0.0,30,2026-01-01,2026-12-31,No,544
CON-90021,SUP-111,CAT-SERV-03,83.95,1.5,1.0,30,2026-01-01,2026-12-31,No,183
CON-90022,SUP-102,IT-ACCESS-02,123.03,0.0,0.0,45,2026-01-01,2026-12-31,No,210
CON-90023,SUP-102,FAC-CLEAN-02,72.08,1.5,0.0,45,2026-01-01,2026-12-31,No,209
CON-90024,SUP-102,PKG-BOX-02,18.93,3.0,0.0,30,2026-01-01,2026-12-31,No,607
CON-90025,SUP-103,CAT-SERV-04,76.3,0.0,0.0,60,2026-01-01,2026-12-31,No,109
CON-90026,SUP-107,FAC-CLEAN-01,70.0,1.5,2.0,60,2026-01-01,2026-12-31,No,591
CON-90027,SUP-109,OFF-SUP-05,13.24,2.0,1.0,30,2026-01-01,2026-12-31,No,313
CON-90028,SUP-102,PKG-BOX-04,20.1,0.0,0.0,45,2026-01-01,2026-12-31,No,247
CON-90029,SUP-105,CAT-SERV-03,94.6,0.0,1.0,30,2026-01-01,2026-12-31,No,97
CON-90030,SUP-109,SEC-ACC-04,286.23,2.0,0.0,30,2026-01-01,2026-12-31,No,672
CON-90031,SUP-101,CAT-SERV-02,75.73,0.0,0.0,30,2026-01-01,2026-12-31,No,642
CON-90032,SUP-100,OFF-SUP-04,9.99,0.0,0.0,60,2026-01-01,2026-12-31,No,152
CON-90033,SUP-106,CAT-SERV-05,99.9,0.0,0.0,30,2026-01-01,2026-12-31,No,520
CON-90034,SUP-106,OFF-SUP-01,10.11,0.0,1.0,45,2026-01-01,2026-12-31,No,665
CON-90035,SUP-100,IT-ACCESS-05,98.63,3.0,1.0,45,2026-01-01,2026-12-31,No,294
CON-90036,SUP-107,SEC-ACC-02,381.17,1.5,1.0,60,2026-01-01,2026-12-31,No,456
CON-90037,SUP-109,PKG-BOX-04,20.21,0.0,0.0,45,2026-01-01,2026-12-31,No,281
CON-90038,SUP-104,FAC-CLEAN-05,62.66,1.5,0.0,60,2026-01-01,2026-12-31,No,269
CON-90039,SUP-108,CAT-SERV-03,89.07,2.0,0.0,30,2026-01-01,2026-12-31,No,643
CON-90040,SUP-106,SEC-ACC-03,309.73,0.0,0.0,45,2026-01-01,2026-12-31,No,382
CON-90041,SUP-111,SEC-ACC-05,322.88,0.0,2.0,60,2026-01-01,2026-12-31,No,109
CON-90042,SUP-111,FAC-CLEAN-01,77.85,2.0,2.0,30,2026-01-01,2026-12-31,No,672
CON-90043,SUP-108,LOG-EXP-01,188.78,1.5,0.0,45,2026-01-01,2026-12-31,No,421
CON-90044,SUP-108,PKG-BOX-04,20.6,3.0,0.0,45,2026-01-01,2026-12-31,No,375
CON-90045,SUP-101,SEC-ACC-02,374.1,1.5,0.0,60,2026-01-01,2026-12-31,No,510
CON-90046,SUP-110,OFF-SUP-05,12.19,0.0,0.0,30,2026-01-01,2026-12-31,No,575
CON-90047,SUP-111,IT-ACCESS-04,124.73,2.0,0.0,60,2026-01-01,2026-12-31,No,397
CON-90048,SUP-104,FAC-CLEAN-01,69.17,1.5,0.0,60,2026-01-01,2026-12-31,No,463
CON-90049,SUP-107,PKG-BOX-05,17.25,0.0,0.0,60,2026-01-01,2026-12-31,No,42
CON-90050,SUP-105,LOG-EXP-03,233.73,3.0,1.0,30,2026-01-01,2026-12-31,No,28
CON-90051,SUP-103,OFF-SUP-03,9.71,1.5,0.0,45,2026-01-01,2026-12-31,No,549
CON-90052,SUP-110,OFF-SUP-03,9.93,0.0,2.0,60,2026-01-01,2026-12-31,No,607
CON-90053,SUP-107,LOG-EXP-02,218.14,2.0,0.0,45,2026-01-01,2026-12-31,No,638
CON-90054,SUP-110,LOG-EXP-02,223.46,2.0,0.0,60,2026-01-01,2026-12-31,No,186
CON-90055,SUP-102,PKG-BOX-04,19.78,0.0,1.0,60,2026-01-01,2026-12-31,No,97
CON-90056,SUP-102,IT-ACCESS-03,137.37,0.0,0.0,45,2026-01-01,2026-12-31,No,30
CON-90057,SUP-100,IT-ACCESS-01,134.22,0.0,2.0,30,2026-01-01,2026-12-31,No,169
CON-90058,SUP-105,MRO-FLT-04,159.93,3.0,0.0,30,2026-01-01,2026-12-31,No,389
CON-90059,SUP-106,PKG-BOX-02,16.86,0.0,0.0,45,2026-01-01,2026-12-31,No,385
CON-90060,SUP-101,FAC-CLEAN-01,71.64,1.5,0.0,45,2026-01-01,2026-12-31,No,681
CON-90061,SUP-104,CAT-SERV-04,78.89,0.0,0.0,30,2026-01-01,2026-12-31,No,124
CON-90062,SUP-105,PKG-BOX-05,18.93,1.5,0.0,60,2026-01-01,2026-12-31,No,120
CON-90063,SUP-103,MRO-FLT-05,152.88,0.0,0.0,45,2026-01-01,2026-12-31,No,187
CON-90064,SUP-108,SEC-ACC-03,323.71,2.0,0.0,45,2026-01-01,2026-12-31,No,399
CON-90065,SUP-110,MRO-FLT-01,141.57,0.0,0.0,60,2026-01-01,2026-12-31,No,281
CON-90066,SUP-104,MRO-FLT-03,155.01,2.0,0.0,60,2026-01-01,2026-12-31,No,351
CON-90067,SUP-101,OFF-SUP-04,10.1,3.0,1.0,60,2026-01-01,2026-12-31,No,182
CON-90068,SUP-103,PKG-BOX-02,18.9,0.0,0.0,45,2026-01-01,2026-12-31,No,544
CON-90069,SUP-106,SEC-ACC-01,325.14,1.5,1.0,60,2026-01-01,2026-12-31,No,337
CON-90070,SUP-107,CAT-SERV-05,93.8,2.0,0.0,45,2026-01-01,2026-12-31,No,116
CON-90071,SUP-111,PKG-BOX-04,16.88,0.0,0.0,60,2026-01-01,2026-12-31,No,122
CON-90072,SUP-108,MRO-FLT-04,146.1,1.5,0.0,45,2026-01-01,2026-12-31,No,355
CON-90073,SUP-109,OFF-SUP-02,11.04,0.0,1.0,30,2026-01-01,2026-12-31,No,538
CON-90074,SUP-106,PKG-BOX-05,19.76,1.5,1.0,45,2026-01-01,2026-12-31,No,542
CON-90075,SUP-106,LOG-EXP-04,231.49,3.0,0.0,45,2026-01-01,2026-12-31,No,359
