invoice_id,supplier_id,po_id,sku,category,uom,quantity,unit_price,currency,invoice_date
INV-10000,SUP-105,PO-70000,CAT-SERV-03,Catering,EA,129,92.21,EGP,2026-09-05
INV-10001,SUP-103,PO-70001,CAT-SERV-01,Catering,EA,182,76.91,EGP,2026-09-07
INV-10002,SUP-108,PO-70002,PKG-BOX-04,Packaging,EA,208,19.64,EGP,2026-08-02
INV-10003,SUP-105,PO-70003,OFF-SUP-02,Office Supplies,EA,601,12.38,EGP,2026-08-27
INV-10004,SUP-100,PO-70004,MRO-FLT-05,MRO,EA,256,144.76,EGP,2026-09-15
INV-10005,SUP-103,PO-70005,SEC-ACC-05,Security,EA,644,325.29,EGP,2026-08-24
INV-10006,SUP-109,PO-70006,PKG-BOX-02,Packaging,EA,238,16.9,EGP,2026-09-05
INV-10007,SUP-106,PO-70007,CAT-SERV-02,Catering,EA,657,82.52,EGP,2026-08-08
INV-10008,SUP-104,PO-70008,MRO-FLT-05,MRO,EA,672,177.11,EGP,2026-08-23
INV-10009,SUP-109,PO-70009,LOG-EXP-01,Logistics,EA,197,200.22,EGP,2026-08-04
INV-10010,SUP-102,PO-70010,OFF-SUP-04,Office Supplies,EA,510,10.89,EGP,2026-08-22
INV-10011,SUP-105,PO-70011,OFF-SUP-02,Office Supplies,EA,229,12.04,EGP,2026-08-29
INV-10012,SUP-105,PO-70012,FAC-CLEAN-03,Facilities,EA,147,66.56,EGP,2026-08-09
INV-10013,SUP-106,PO-70013,CAT-SERV-05,Catering,EA,323,95.96,EGP,2026-08-07
INV-10014,SUP-100,PO-70014,IT-ACCESS-03,IT Peripherals,EA,207,156.98,EGP,2026-08-25
INV-10015,SUP-106,PO-70015,MRO-FLT-02,MRO,EA,632,123.64,EGP,2026-09-11
INV-10016,SUP-107,PO-70016,IT-ACCESS-05,IT Peripherals,EA,477,101.7,EGP,2026-09-03
INV-10017,SUP-111,PO-70017,CAT-SERV-02,Catering,EA,176,74.09,EGP,2026-08-18
INV-10018,SUP-102,PO-70018,LOG-EXP-03,Logistics,EA,667,211.74,EGP,2026-08-12
INV-10019,SUP-103,PO-70019,IT-ACCESS-02,IT Peripherals,EA,315,154.37,EGP,2026-09-10
INV-10020,SUP-100,PO-70020,LOG-EXP-03,Logistics,EA,544,224.73,EGP,2026-08-05
INV-10021,SUP-111,PO-70021,CAT-SERV-03,Catering,EA,203,83.95,EGP,2026-09-04
INV-10022,SUP-102,PO-70022,IT-ACCESS-02,IT Peripherals,EA,210,123.03,EGP,2026-08-23
INV-10023,SUP-102,PO-70023,FAC-CLEAN-02,Facilities,EA,209,72.08,EGP,2026-08-14
INV-10024,SUP-102,PO-70024,PKG-BOX-02,Packaging,EA,607,20.27,EGP,2026-08-20
INV-10025,SUP-103,PO-70025,CAT-SERV-04,Catering,EA,109,95.93,EGP,2026-09-14
INV-10026,SUP-107,PO-70026,FAC-CLEAN-01,Facilities,EA,591,70.0,EGP,2026-08-01
INV-10027,SUP-109,PO-70027,OFF-SUP-05,Office Supplies,EA,313,13.24,EGP,2026-08-31
INV-10028,SUP-102,PO-70028,PKG-BOX-04,Packaging,EA,247,20.1,EGP,2026-09-04
INV-10028-DUP,SUP-102,PO-70028,PKG-BOX-04,Packaging,EA,247,20.1,EGP,2026-09-05
INV-10029,SUP-105,PO-70029,CAT-SERV-03,Catering,EA,97,94.6,EGP,2026-08-25
INV-10030,SUP-109,PO-70030,SEC-ACC-04,Security,EA,672,286.23,EGP,2026-08-17
INV-10031,SUP-101,PO-70031,CAT-SERV-02,Catering,EA,642,75.73,EGP,2026-08-27
INV-10032,SUP-100,PO-70032,OFF-SUP-04,Office Supplies,EA,152,9.99,EGP,2026-08-24
INV-10033,SUP-106,PO-70033,CAT-SERV-05,Catering,EA,520,99.9,EGP,2026-08-23
INV-10034,SUP-106,PO-70034,OFF-SUP-01,Office Supplies,EA,665,10.11,EGP,2026-09-12
INV-10035,SUP-100,PO-70035,IT-ACCESS-05,IT Peripherals,EA,327,98.63,EGP,2026-09-11
INV-10036,SUP-107,PO-70036,SEC-ACC-02,Security,EA,456,381.17,EGP,2026-08-25
INV-10037,SUP-109,PO-70037,PKG-BOX-04,Packaging,EA,281,20.21,EGP,2026-08-07
INV-10038,SUP-104,PO-70038,FAC-CLEAN-05,Facilities,EA,269,62.66,EGP,2026-08-18
INV-10039,SUP-108,PO-70039,CAT-SERV-03,Catering,EA,643,89.07,EGP,2026-08-25
INV-10040,SUP-106,PO-70040,SEC-ACC-03,Security,EA,382,309.73,EGP,2026-09-03
INV-10041,SUP-111,PO-70041,SEC-ACC-05,Security,EA,109,322.88,EGP,2026-09-03
INV-10042,SUP-111,PO-70042,FAC-CLEAN-01,Facilities,EA,672,77.85,EGP,2026-09-06
INV-10043,SUP-108,PO-70043,LOG-EXP-01,Logistics,EA,421,188.78,EGP,2026-08-08
INV-10044,SUP-108,PO-70044,PKG-BOX-04,Packaging,EA,401,20.6,EGP,2026-08-11
INV-10045,SUP-101,PO-70045,SEC-ACC-02,Security,EA,510,374.1,EGP,2026-09-12
INV-10046,SUP-110,PO-70046,OFF-SUP-05,Office Supplies,EA,575,12.19,EGP,2026-08-25
INV-10047,SUP-111,PO-70047,IT-ACCESS-04,IT Peripherals,EA,397,142.0,EGP,2026-09-13
INV-10048,SUP-104,PO-70048,FAC-CLEAN-01,Facilities,EA,463,84.65,EGP,2026-08-13
INV-10049,SUP-107,PO-70049,PKG-BOX-05,Packaging,EA,42,17.25,EGP,2026-09-03
INV-10050,SUP-105,PO-70050,LOG-EXP-03,Logistics,EA,33,233.73,EGP,2026-08-26
INV-10051,SUP-103,PO-70051,OFF-SUP-03,Office Supplies,EA,549,9.71,EGP,2026-08-02
INV-10052,SUP-110,PO-70052,OFF-SUP-03,Office Supplies,EA,607,9.93,EGP,2026-09-09
INV-10053,SUP-107,PO-70053,LOG-EXP-02,Logistics,EA,638,218.14,EGP,2026-09-07
INV-10054,SUP-110,PO-70054,LOG-EXP-02,Logistics,EA,186,302.66,EGP,2026-09-08
INV-10055,SUP-102,PO-70055,PKG-BOX-04,Packaging,EA,97,22.76,EGP,2026-08-04
INV-10056,SUP-102,PO-70056,IT-ACCESS-03,IT Peripherals,EA,30,137.37,EGP,2026-09-04
INV-10057,SUP-100,PO-70057,IT-ACCESS-01,IT Peripherals,EA,169,134.22,EGP,2026-08-18
INV-10058,SUP-105,PO-70058,MRO-FLT-04,MRO,EA,389,159.93,EGP,2026-08-21
INV-10059,SUP-106,PO-70059,PKG-BOX-02,Packaging,EA,385,20.73,EGP,2026-08-22
INV-10060,SUP-101,PO-70060,FAC-CLEAN-01,Facilities,EA,681,71.64,EGP,2026-08-29
INV-10061,SUP-104,PO-70061,CAT-SERV-04,Catering,EA,124,78.89,EGP,2026-08-28
INV-10062,SUP-105,PO-70062,PKG-BOX-05,Packaging,EA,120,18.93,EGP,2026-08-28
INV-10063,SUP-103,PO-70063,MRO-FLT-05,MRO,EA,187,152.88,EGP,2026-08-25
INV-10064,SUP-108,PO-70064,SEC-ACC-03,Security,EA,399,323.71,EGP,2026-09-03
INV-10065,SUP-110,PO-70065,MRO-FLT-01,MRO,EA,281,141.57,EGP,2026-09-09
INV-10066,SUP-104,PO-70066,MRO-FLT-03,MRO,EA,351,163.12,EGP,2026-08-21
INV-10067,SUP-101,PO-70067,OFF-SUP-04,Office Supplies,EA,182,10.1,EGP,2026-08-24
INV-10068,SUP-103,PO-70068,PKG-BOX-02,Packaging,EA,544,18.9,EGP,2026-09-12
INV-10069,SUP-106,PO-70069,SEC-ACC-01,Security,EA,348,325.14,EGP,2026-09-15
INV-10070,SUP-107,PO-70070,CAT-SERV-05,Catering,EA,116,93.8,EGP,2026-08-04
INV-10071,SUP-111,PO-70071,PKG-BOX-04,Packaging,EA,122,20.41,EGP,2026-08-11
INV-10072,SUP-108,PO-70072,MRO-FLT-04,MRO,EA,355,146.1,EGP,2026-09-08
INV-10073,SUP-109,PO-70073,OFF-SUP-02,Office Supplies,EA,538,11.04,EGP,2026-08-25
INV-10074,SUP-106,PO-70074,PKG-BOX-05,Packaging,EA,542,19.76,EGP,2026-09-11
INV-10075,SUP-106,PO-70075,LOG-EXP-04,Logistics,EA,359,231.49,EGP,2026-08-19
INV-10076,SUP-100,PO-70076,FAC-CLEAN-03,Facilities,EA,250,67.1,EGP,2026-09-12
INV-10077,SUP-106,PO-70077,MRO-FLT-04,MRO,EA,24,173.8,EGP,2026-09-15
INV-10078,SUP-107,PO-70078,SEC-ACC-01,Security,EA,634,434.14,EGP,2026-09-09
INV-10079,SUP-107,PO-70079,PKG-BOX-03,Packaging,EA,396,20.15,EGP,2026-08-14
INV-10080,SUP-100,PO-70080,LOG-EXP-04,Logistics,EA,104,240.81,EGP,2026-09-15
INV-10081,SUP-100,PO-70081,PKG-BOX-02,Packaging,EA,559,17.08,EGP,2026-09-06
INV-10082,SUP-100,PO-70082,IT-ACCESS-02,IT Peripherals,EA,273,109.29,EGP,2026-09-01
INV-10083,SUP-108,PO-70083,SEC-ACC-05,Security,EA,522,332.34,EGP,2026-08-11
INV-10084,SUP-111,PO-70084,IT-ACCESS-01,IT Peripherals,EA,369,133.55,EGP,2026-08-19
INV-10085,SUP-104,PO-70085,FAC-CLEAN-05,Facilities,EA,599,62.48,EGP,2026-08-14
INV-10085-DUP,SUP-104,PO-70085,FAC-CLEAN-05,Facilities,EA,599,62.48,EGP,2026-08-15
